ADS1115 CONFIG: 0x8488
XU4 Microsecond: 1071592, ADC Sample: 71
XU4 Microsecond: 1079612, ADC Sample: 39
XU4 Microsecond: 1087645, ADC Sample: -8
XU4 Microsecond: 1095661, ADC Sample: -76
XU4 Microsecond: 1103689, ADC Sample: -112
XU4 Microsecond: 1111728, ADC Sample: -131
XU4 Microsecond: 1119756, ADC Sample: -237
XU4 Microsecond: 1127762, ADC Sample: -175
XU4 Microsecond: 1135822, ADC Sample: -350
XU4 Microsecond: 1143816, ADC Sample: -233
XU4 Microsecond: 1151840, ADC Sample: -442
XU4 Microsecond: 1159871, ADC Sample: -348
XU4 Microsecond: 1167911, ADC Sample: -451
XU4 Microsecond: 1175930, ADC Sample: -422
XU4 Microsecond: 1183975, ADC Sample: -481
XU4 Microsecond: 1191993, ADC Sample: -461
XU4 Microsecond: 1200018, ADC Sample: -472
XU4 Microsecond: 1208033, ADC Sample: -499
XU4 Microsecond: 1216084, ADC Sample: -456
XU4 Microsecond: 1224112, ADC Sample: -548
XU4 Microsecond: 1232127, ADC Sample: -463
XU4 Microsecond: 1240158, ADC Sample: -535
XU4 Microsecond: 1248172, ADC Sample: -326
XU4 Microsecond: 1256194, ADC Sample: -484
XU4 Microsecond: 1264244, ADC Sample: -305
XU4 Microsecond: 1272269, ADC Sample: -414
XU4 Microsecond: 1280277, ADC Sample: -271
XU4 Microsecond: 1288322, ADC Sample: -318
XU4 Microsecond: 1296343, ADC Sample: -179
XU4 Microsecond: 1304362, ADC Sample: -193
XU4 Microsecond: 1312384, ADC Sample: -100
XU4 Microsecond: 1320438, ADC Sample: -81
XU4 Microsecond: 1328444, ADC Sample: -37
XU4 Microsecond: 1336477, ADC Sample: 0
XU4 Microsecond: 1344524, ADC Sample: 55
XU4 Microsecond: 1352527, ADC Sample: 117
XU4 Microsecond: 1360548, ADC Sample: 134
XU4 Microsecond: 1368585, ADC Sample: 242
XU4 Microsecond: 1376607, ADC Sample: 220
XU4 Microsecond: 1384635, ADC Sample: 325
XU4 Microsecond: 1392659, ADC Sample: 285
XU4 Microsecond: 1400689, ADC Sample: 403
XU4 Microsecond: 1408708, ADC Sample: 335
XU4 Microsecond: 1416742, ADC Sample: 484
XU4 Microsecond: 1424778, ADC Sample: 435
XU4 Microsecond: 1432788, ADC Sample: 473
XU4 Microsecond: 1440867, ADC Sample: 486
XU4 Microsecond: 1448865, ADC Sample: 442
XU4 Microsecond: 1456873, ADC Sample: 518
XU4 Microsecond: 1464926, ADC Sample: 422
XU4 Microsecond: 1472935, ADC Sample: 547
XU4 Microsecond: 1480961, ADC Sample: 364
XU4 Microsecond: 1488985, ADC Sample: 556
XU4 Microsecond: 1497034, ADC Sample: 355
XU4 Microsecond: 1505043, ADC Sample: 499
XU4 Microsecond: 1513068, ADC Sample: 242
XU4 Microsecond: 1521112, ADC Sample: 423
XU4 Microsecond: 1529122, ADC Sample: 255
XU4 Microsecond: 1537150, ADC Sample: 321
XU4 Microsecond: 1545218, ADC Sample: 160
XU4 Microsecond: 1553208, ADC Sample: 200
XU4 Microsecond: 1561235, ADC Sample: 125
XU4 Microsecond: 1569256, ADC Sample: 94
XU4 Microsecond: 1577285, ADC Sample: 32
XU4 Microsecond: 1585310, ADC Sample: 6
XU4 Microsecond: 1593342, ADC Sample: -40
XU4 Microsecond: 1601391, ADC Sample: -125
XU4 Microsecond: 1609407, ADC Sample: -128
XU4 Microsecond: 1617425, ADC Sample: -212
XU4 Microsecond: 1625469, ADC Sample: -190
XU4 Microsecond: 1633469, ADC Sample: -309
XU4 Microsecond: 1641508, ADC Sample: -262
XU4 Microsecond: 1649595, ADC Sample: -379
XU4 Microsecond: 1657601, ADC Sample: -388
XU4 Microsecond: 1665629, ADC Sample: -407
XU4 Microsecond: 1673640, ADC Sample: -474
XU4 Microsecond: 1681662, ADC Sample: -389
XU4 Microsecond: 1689662, ADC Sample: -555
XU4 Microsecond: 1697706, ADC Sample: -438
XU4 Microsecond: 1705726, ADC Sample: -580
XU4 Microsecond: 1713751, ADC Sample: -365
XU4 Microsecond: 1721768, ADC Sample: -581
XU4 Microsecond: 1729806, ADC Sample: -348
XU4 Microsecond: 1737837, ADC Sample: -565
XU4 Microsecond: 1745887, ADC Sample: -283
XU4 Microsecond: 1753894, ADC Sample: -510
XU4 Microsecond: 1761905, ADC Sample: -296
XU4 Microsecond: 1769929, ADC Sample: -441
XU4 Microsecond: 1777953, ADC Sample: -207
XU4 Microsecond: 1786001, ADC Sample: -329
XU4 Microsecond: 1794025, ADC Sample: -156
XU4 Microsecond: 1802051, ADC Sample: -237
XU4 Microsecond: 1810070, ADC Sample: -138
XU4 Microsecond: 1818098, ADC Sample: -97
XU4 Microsecond: 1826123, ADC Sample: -43
XU4 Microsecond: 1834163, ADC Sample: -7
XU4 Microsecond: 1842181, ADC Sample: 35
