ADS1115 CONFIG: 0x8488
XU4 Microsecond: 1067663, ADC Sample: 578
XU4 Microsecond: 1075694, ADC Sample: 393
XU4 Microsecond: 1083719, ADC Sample: 556
XU4 Microsecond: 1091747, ADC Sample: 446
XU4 Microsecond: 1099776, ADC Sample: 578
XU4 Microsecond: 1107802, ADC Sample: 363
XU4 Microsecond: 1115830, ADC Sample: 595
XU4 Microsecond: 1123854, ADC Sample: 406
XU4 Microsecond: 1131884, ADC Sample: 570
XU4 Microsecond: 1139900, ADC Sample: 436
XU4 Microsecond: 1147927, ADC Sample: 530
XU4 Microsecond: 1155955, ADC Sample: 425
XU4 Microsecond: 1163982, ADC Sample: 512
XU4 Microsecond: 1172010, ADC Sample: 445
XU4 Microsecond: 1180037, ADC Sample: 534
XU4 Microsecond: 1188064, ADC Sample: 410
XU4 Microsecond: 1196092, ADC Sample: 505
XU4 Microsecond: 1204119, ADC Sample: 480
XU4 Microsecond: 1212144, ADC Sample: 521
XU4 Microsecond: 1220172, ADC Sample: 516
XU4 Microsecond: 1228199, ADC Sample: 433
XU4 Microsecond: 1236227, ADC Sample: 512
XU4 Microsecond: 1244251, ADC Sample: 406
XU4 Microsecond: 1252280, ADC Sample: 537
XU4 Microsecond: 1260305, ADC Sample: 349
XU4 Microsecond: 1268334, ADC Sample: 565
XU4 Microsecond: 1276360, ADC Sample: 397
XU4 Microsecond: 1284387, ADC Sample: 238
XU4 Microsecond: 1292415, ADC Sample: -467
XU4 Microsecond: 1300441, ADC Sample: -618
XU4 Microsecond: 1308469, ADC Sample: -458
XU4 Microsecond: 1316496, ADC Sample: -631
XU4 Microsecond: 1324521, ADC Sample: -375
XU4 Microsecond: 1332551, ADC Sample: -623
XU4 Microsecond: 1340576, ADC Sample: -390
XU4 Microsecond: 1348606, ADC Sample: -664
XU4 Microsecond: 1356633, ADC Sample: -438
XU4 Microsecond: 1364657, ADC Sample: -656
XU4 Microsecond: 1372686, ADC Sample: -479
XU4 Microsecond: 1380715, ADC Sample: -579
XU4 Microsecond: 1388741, ADC Sample: -453
XU4 Microsecond: 1396764, ADC Sample: -566
XU4 Microsecond: 1404793, ADC Sample: -440
XU4 Microsecond: 1412822, ADC Sample: -545
XU4 Microsecond: 1420849, ADC Sample: -518
XU4 Microsecond: 1428902, ADC Sample: -500
XU4 Microsecond: 1436897, ADC Sample: -546
XU4 Microsecond: 1444946, ADC Sample: -485
XU4 Microsecond: 1452957, ADC Sample: -560
XU4 Microsecond: 1460986, ADC Sample: -485
XU4 Microsecond: 1469011, ADC Sample: -583
XU4 Microsecond: 1477042, ADC Sample: -444
XU4 Microsecond: 1485067, ADC Sample: -612
XU4 Microsecond: 1493092, ADC Sample: -450
XU4 Microsecond: 1501119, ADC Sample: -630
XU4 Microsecond: 1509144, ADC Sample: -363
XU4 Microsecond: 1517171, ADC Sample: -628
XU4 Microsecond: 1525199, ADC Sample: -366
XU4 Microsecond: 1533225, ADC Sample: -457
XU4 Microsecond: 1541257, ADC Sample: 386
XU4 Microsecond: 1549282, ADC Sample: 613
XU4 Microsecond: 1557316, ADC Sample: 367
XU4 Microsecond: 1565341, ADC Sample: 556
XU4 Microsecond: 1573369, ADC Sample: 427
XU4 Microsecond: 1581399, ADC Sample: 582
XU4 Microsecond: 1589423, ADC Sample: 462
XU4 Microsecond: 1597451, ADC Sample: 558
XU4 Microsecond: 1605480, ADC Sample: 472
XU4 Microsecond: 1613505, ADC Sample: 543
XU4 Microsecond: 1621533, ADC Sample: 417
XU4 Microsecond: 1629563, ADC Sample: 464
XU4 Microsecond: 1637579, ADC Sample: 473
XU4 Microsecond: 1645614, ADC Sample: 442
XU4 Microsecond: 1653641, ADC Sample: 506
XU4 Microsecond: 1661666, ADC Sample: 425
XU4 Microsecond: 1669695, ADC Sample: 506
XU4 Microsecond: 1677718, ADC Sample: 437
XU4 Microsecond: 1685747, ADC Sample: 521
XU4 Microsecond: 1693776, ADC Sample: 378
XU4 Microsecond: 1701800, ADC Sample: 562
XU4 Microsecond: 1709829, ADC Sample: 373
XU4 Microsecond: 1717855, ADC Sample: 570
XU4 Microsecond: 1725885, ADC Sample: 367
XU4 Microsecond: 1733912, ADC Sample: 581
XU4 Microsecond: 1741937, ADC Sample: 404
XU4 Microsecond: 1749964, ADC Sample: 577
XU4 Microsecond: 1757991, ADC Sample: 378
XU4 Microsecond: 1766030, ADC Sample: 584
XU4 Microsecond: 1774043, ADC Sample: 370
XU4 Microsecond: 1782076, ADC Sample: 585
XU4 Microsecond: 1790100, ADC Sample: -392
XU4 Microsecond: 1798126, ADC Sample: -577
XU4 Microsecond: 1806153, ADC Sample: -473
XU4 Microsecond: 1814181, ADC Sample: -560
XU4 Microsecond: 1822208, ADC Sample: -450
XU4 Microsecond: 1830235, ADC Sample: -543
XU4 Microsecond: 1838262, ADC Sample: -467
XU4 Microsecond: 1846290, ADC Sample: -511
XU4 Microsecond: 1854316, ADC Sample: -465
XU4 Microsecond: 1862343, ADC Sample: -550
XU4 Microsecond: 1870370, ADC Sample: -517
XU4 Microsecond: 1878398, ADC Sample: -477
XU4 Microsecond: 1886425, ADC Sample: -560
XU4 Microsecond: 1894453, ADC Sample: -456
XU4 Microsecond: 1902479, ADC Sample: -565
XU4 Microsecond: 1910505, ADC Sample: -494
XU4 Microsecond: 1918532, ADC Sample: -617
XU4 Microsecond: 1926559, ADC Sample: -392
XU4 Microsecond: 1934586, ADC Sample: -622
XU4 Microsecond: 1942613, ADC Sample: -515
XU4 Microsecond: 1950640, ADC Sample: -616
XU4 Microsecond: 1958668, ADC Sample: -393
XU4 Microsecond: 1966692, ADC Sample: -624
XU4 Microsecond: 1974724, ADC Sample: -432
XU4 Microsecond: 1982746, ADC Sample: -622
XU4 Microsecond: 1990776, ADC Sample: -406
XU4 Microsecond: 1998801, ADC Sample: -644
XU4 Microsecond: 2006832, ADC Sample: -376
XU4 Microsecond: 2014869, ADC Sample: -625
XU4 Microsecond: 2022893, ADC Sample: -451
XU4 Microsecond: 2030921, ADC Sample: -579
XU4 Microsecond: 2038948, ADC Sample: 327
XU4 Microsecond: 2046974, ADC Sample: 544
XU4 Microsecond: 2055002, ADC Sample: 460
XU4 Microsecond: 2063029, ADC Sample: 561
XU4 Microsecond: 2071054, ADC Sample: 435
XU4 Microsecond: 2079088, ADC Sample: 472
XU4 Microsecond: 2087115, ADC Sample: 455
XU4 Microsecond: 2095151, ADC Sample: 510
XU4 Microsecond: 2103171, ADC Sample: 495
XU4 Microsecond: 2111203, ADC Sample: 369
XU4 Microsecond: 2119223, ADC Sample: 541
XU4 Microsecond: 2127247, ADC Sample: 383
XU4 Microsecond: 2135314, ADC Sample: 533
XU4 Microsecond: 2143307, ADC Sample: 384
XU4 Microsecond: 2151365, ADC Sample: 557
XU4 Microsecond: 2159381, ADC Sample: 374
XU4 Microsecond: 2167383, ADC Sample: 578
XU4 Microsecond: 2175407, ADC Sample: 408
XU4 Microsecond: 2183435, ADC Sample: 579
XU4 Microsecond: 2191463, ADC Sample: 419
XU4 Microsecond: 2199488, ADC Sample: 565
XU4 Microsecond: 2207515, ADC Sample: 416
XU4 Microsecond: 2215543, ADC Sample: 571
XU4 Microsecond: 2223571, ADC Sample: 414
XU4 Microsecond: 2231596, ADC Sample: 594
XU4 Microsecond: 2239622, ADC Sample: 415
XU4 Microsecond: 2247650, ADC Sample: 602
XU4 Microsecond: 2255678, ADC Sample: 432
XU4 Microsecond: 2263704, ADC Sample: 572
XU4 Microsecond: 2271732, ADC Sample: 440
XU4 Microsecond: 2279758, ADC Sample: 527
XU4 Microsecond: 2287787, ADC Sample: -247
XU4 Microsecond: 2295813, ADC Sample: -548
XU4 Microsecond: 2303837, ADC Sample: -510
XU4 Microsecond: 2311869, ADC Sample: -536
XU4 Microsecond: 2319895, ADC Sample: -482
XU4 Microsecond: 2327921, ADC Sample: -498
XU4 Microsecond: 2335948, ADC Sample: -547
XU4 Microsecond: 2343975, ADC Sample: -540
XU4 Microsecond: 2352002, ADC Sample: -577
XU4 Microsecond: 2360031, ADC Sample: -455
XU4 Microsecond: 2368058, ADC Sample: -614
XU4 Microsecond: 2376090, ADC Sample: -446
XU4 Microsecond: 2384111, ADC Sample: -630
XU4 Microsecond: 2392140, ADC Sample: -466
XU4 Microsecond: 2400165, ADC Sample: -626
XU4 Microsecond: 2408193, ADC Sample: -434
XU4 Microsecond: 2416219, ADC Sample: -629
XU4 Microsecond: 2424247, ADC Sample: -358
XU4 Microsecond: 2432275, ADC Sample: -598
XU4 Microsecond: 2440300, ADC Sample: -390
XU4 Microsecond: 2448331, ADC Sample: -634
XU4 Microsecond: 2456352, ADC Sample: -433
XU4 Microsecond: 2464380, ADC Sample: -587
XU4 Microsecond: 2472407, ADC Sample: -457
XU4 Microsecond: 2480437, ADC Sample: -545
XU4 Microsecond: 2488464, ADC Sample: -437
XU4 Microsecond: 2496490, ADC Sample: -560
XU4 Microsecond: 2504517, ADC Sample: -459
XU4 Microsecond: 2512545, ADC Sample: -520
XU4 Microsecond: 2520571, ADC Sample: -476
XU4 Microsecond: 2528597, ADC Sample: -511
XU4 Microsecond: 2536626, ADC Sample: 59
XU4 Microsecond: 2544653, ADC Sample: 424
XU4 Microsecond: 2552682, ADC Sample: 527
XU4 Microsecond: 2560706, ADC Sample: 487
XU4 Microsecond: 2568733, ADC Sample: 542
XU4 Microsecond: 2576762, ADC Sample: 425
XU4 Microsecond: 2584787, ADC Sample: 565
XU4 Microsecond: 2592818, ADC Sample: 437
XU4 Microsecond: 2600843, ADC Sample: 567
XU4 Microsecond: 2608870, ADC Sample: 340
XU4 Microsecond: 2616897, ADC Sample: 579
XU4 Microsecond: 2624926, ADC Sample: 386
XU4 Microsecond: 2632949, ADC Sample: 576
XU4 Microsecond: 2640979, ADC Sample: 376
XU4 Microsecond: 2649004, ADC Sample: 571
XU4 Microsecond: 2657031, ADC Sample: 414
XU4 Microsecond: 2665058, ADC Sample: 574
XU4 Microsecond: 2673083, ADC Sample: 392
XU4 Microsecond: 2681112, ADC Sample: 579
XU4 Microsecond: 2689139, ADC Sample: 417
XU4 Microsecond: 2697169, ADC Sample: 555
XU4 Microsecond: 2705183, ADC Sample: 468
XU4 Microsecond: 2713214, ADC Sample: 511
XU4 Microsecond: 2721239, ADC Sample: 433
XU4 Microsecond: 2729266, ADC Sample: 506
XU4 Microsecond: 2737294, ADC Sample: 463
XU4 Microsecond: 2745321, ADC Sample: 470
XU4 Microsecond: 2753348, ADC Sample: 497
XU4 Microsecond: 2761377, ADC Sample: 442
XU4 Microsecond: 2769402, ADC Sample: 495
XU4 Microsecond: 2777427, ADC Sample: 458
XU4 Microsecond: 2785456, ADC Sample: 84
XU4 Microsecond: 2793482, ADC Sample: -421
XU4 Microsecond: 2801508, ADC Sample: -616
XU4 Microsecond: 2809536, ADC Sample: -400
XU4 Microsecond: 2817565, ADC Sample: -622
XU4 Microsecond: 2825591, ADC Sample: -325
XU4 Microsecond: 2833615, ADC Sample: -614
XU4 Microsecond: 2841643, ADC Sample: -352
XU4 Microsecond: 2849672, ADC Sample: -627
XU4 Microsecond: 2857698, ADC Sample: -415
XU4 Microsecond: 2865727, ADC Sample: -630
XU4 Microsecond: 2873753, ADC Sample: -371
XU4 Microsecond: 2881778, ADC Sample: -621
XU4 Microsecond: 2889805, ADC Sample: -382
XU4 Microsecond: 2897833, ADC Sample: -649
XU4 Microsecond: 2905864, ADC Sample: -468
XU4 Microsecond: 2913888, ADC Sample: -558
XU4 Microsecond: 2921917, ADC Sample: -462
XU4 Microsecond: 2929943, ADC Sample: -605
XU4 Microsecond: 2937978, ADC Sample: -483
XU4 Microsecond: 2946000, ADC Sample: -554
XU4 Microsecond: 2954029, ADC Sample: -499
XU4 Microsecond: 2962060, ADC Sample: -608
XU4 Microsecond: 2970086, ADC Sample: -518
XU4 Microsecond: 2978113, ADC Sample: -451
XU4 Microsecond: 2986137, ADC Sample: -541
XU4 Microsecond: 2994166, ADC Sample: -500
XU4 Microsecond: 3002193, ADC Sample: -573
XU4 Microsecond: 3010211, ADC Sample: -482
XU4 Microsecond: 3018256, ADC Sample: -608
XU4 Microsecond: 3026282, ADC Sample: -494
XU4 Microsecond: 3034309, ADC Sample: -263
XU4 Microsecond: 3042337, ADC Sample: 379
XU4 Microsecond: 3050363, ADC Sample: 572
XU4 Microsecond: 3058391, ADC Sample: 397
XU4 Microsecond: 3066419, ADC Sample: 554
XU4 Microsecond: 3074445, ADC Sample: 354
XU4 Microsecond: 3082471, ADC Sample: 568
XU4 Microsecond: 3090497, ADC Sample: 341
XU4 Microsecond: 3098528, ADC Sample: 558
XU4 Microsecond: 3106554, ADC Sample: 397
XU4 Microsecond: 3114582, ADC Sample: 595
XU4 Microsecond: 3122604, ADC Sample: 415
XU4 Microsecond: 3130637, ADC Sample: 590
XU4 Microsecond: 3138662, ADC Sample: 463
XU4 Microsecond: 3146690, ADC Sample: 526
XU4 Microsecond: 3154707, ADC Sample: 470
XU4 Microsecond: 3162733, ADC Sample: 512
XU4 Microsecond: 3170760, ADC Sample: 459
XU4 Microsecond: 3178786, ADC Sample: 468
XU4 Microsecond: 3186814, ADC Sample: 470
