ADS1115 CONFIG: 0x8488
XU4 Microsecond: 1046138, ADC Sample: 497
XU4 Microsecond: 1053991, ADC Sample: 687
XU4 Microsecond: 1061853, ADC Sample: 564
XU4 Microsecond: 1069710, ADC Sample: 619
XU4 Microsecond: 1077557, ADC Sample: 681
XU4 Microsecond: 1085415, ADC Sample: 646
XU4 Microsecond: 1093270, ADC Sample: 835
XU4 Microsecond: 1101128, ADC Sample: 706
XU4 Microsecond: 1108972, ADC Sample: 932
XU4 Microsecond: 1116827, ADC Sample: 635
XU4 Microsecond: 1124679, ADC Sample: 1015
XU4 Microsecond: 1132537, ADC Sample: 696
XU4 Microsecond: 1140393, ADC Sample: 1117
XU4 Microsecond: 1148249, ADC Sample: 792
XU4 Microsecond: 1156104, ADC Sample: 1122
XU4 Microsecond: 1164000, ADC Sample: 949
XU4 Microsecond: 1171874, ADC Sample: 1215
XU4 Microsecond: 1179734, ADC Sample: 987
XU4 Microsecond: 1187534, ADC Sample: 1065
XU4 Microsecond: 1195379, ADC Sample: 936
XU4 Microsecond: 1203239, ADC Sample: 889
XU4 Microsecond: 1211105, ADC Sample: 969
XU4 Microsecond: 1218963, ADC Sample: 686
XU4 Microsecond: 1226821, ADC Sample: 936
XU4 Microsecond: 1234678, ADC Sample: 705
XU4 Microsecond: 1242526, ADC Sample: 886
XU4 Microsecond: 1250385, ADC Sample: 526
XU4 Microsecond: 1258242, ADC Sample: 797
XU4 Microsecond: 1266096, ADC Sample: 442
XU4 Microsecond: 1273950, ADC Sample: 743
XU4 Microsecond: 1281845, ADC Sample: 533
XU4 Microsecond: 1289668, ADC Sample: 648
XU4 Microsecond: 1297520, ADC Sample: 500
XU4 Microsecond: 1305375, ADC Sample: 529
XU4 Microsecond: 1313230, ADC Sample: 444
XU4 Microsecond: 1321088, ADC Sample: 470
XU4 Microsecond: 1328945, ADC Sample: 341
XU4 Microsecond: 1336809, ADC Sample: 269
XU4 Microsecond: 1347658, ADC Sample: 314
XU4 Microsecond: 1352511, ADC Sample: 319
XU4 Microsecond: 1360357, ADC Sample: 276
XU4 Microsecond: 1368200, ADC Sample: 159
XU4 Microsecond: 1376077, ADC Sample: 196
XU4 Microsecond: 1383931, ADC Sample: 93
XU4 Microsecond: 1391784, ADC Sample: 108
XU4 Microsecond: 1399639, ADC Sample: 98
XU4 Microsecond: 1407495, ADC Sample: 52
XU4 Microsecond: 1415352, ADC Sample: 40
XU4 Microsecond: 1423206, ADC Sample: 2
XU4 Microsecond: 1431064, ADC Sample: 63
XU4 Microsecond: 1438916, ADC Sample: -79
XU4 Microsecond: 1446771, ADC Sample: -188
XU4 Microsecond: 1454627, ADC Sample: -159
XU4 Microsecond: 1462484, ADC Sample: -121
XU4 Microsecond: 1470339, ADC Sample: -239
XU4 Microsecond: 1478196, ADC Sample: -200
XU4 Microsecond: 1486049, ADC Sample: -290
XU4 Microsecond: 1493905, ADC Sample: -320
